London, UK
Brooklyn, New York
321 West 37th Street, Manhattan, New York, USA
San Francisco, USA
Zurich, Switzerland
Prague
Nairobi, Kenya
Beijing
Yellowstone National Park
OX1 3PU
Saint Peter's University, Jersey City, NJ
Valencia, Spain
Barcelona, Spain
Milan, Italy
Beersheva, Israel
Tel Aviv, Israel
Jerusalem, Israel
Eliat, Israel
Xi'an, China
Warsaw, Poland
Krakow, Poland
Negril, Jamaica
Cancun, Mexico
Ann Arbor, MI
Madison, WI
Minneapolis, MN
Lawrence, Kansas
Kirksville, MO
St Louis, MO
Kansas City, MO
Jackson Hole, WY
Los Angeles, CA
San Diego, CA
Los Altos, CA
Columbus, OH
Coco Beach, FL
Orlando, FL
Atlanta, GA
Arkadelphia, AR
Philadelphia, PA
Jersey City, NJ
Manchester, UK
Paris, France
Honolulu, HI
Rovinj, Croatia
St Gallen, Switzerland
Amsterdam, The Netherlands
Istanbul, Turkey
Olympus, Turkey
Troy, Turkey
Dallas, Texas
Arlington, Texas
Ithaca, New York
Lewes, Delaware
Washington, DC
State College, PA
Chicago, IL
Door County, WI
Laax, Switzerland
Lake Tahoe, CA
Sunrise Beach, MO
Boston, MA
Dayton, OH
Pittsburgh, PA
New Orleans, LA
